Title,Rating,Votes,Revenue (Millions),Metascore
Diary of a Wimpy Kid,6.2,34184,64,56
The Big Short,7.8,246360,70.24,81
Room,8.2,224132,14.68,86
Django Unchained,8.4,1039115,162.8,81
Ah-ga-ssi,8.1,33418,2.01,84
The Edge of Seventeen,7.4,47694,14.26,77
Watchmen,7.6,410249,107.5,56
Superbad,7.6,442082,121.46,76
Inferno,6.2,97623,34.26,42
The BFG,6.4,50853,55.47,66
The Hunger Games,7.2,735604,408,68
White Girl,5.8,4299,0.2,65
Sicario,7.6,243230,46.88,82
Aliens vs Predator - Requiem,4.7,97618,41.8,29
Pacific Rim,7,400519,101.79,64
"Crazy, Stupid, Love.",7.4,396714,84.24,68
Scott Pilgrim vs. the World,7.5,291457,31.49,69
Hot Fuzz,7.9,373244,23.62,81
Free Fire,7,6946,1.8,63
X-Men: Days of Future Past,8,552298,233.91,74
Jack Reacher: Never Go Back,6.1,78043,58.4,47
Casino Royale,8,495106,167.01,80
Twilight,5.2,361449,191.45,56
Now You See Me 2,6.5,156567,65.03,46
Woman in Gold,7.3,39723,33.31,51
13 Hours,7.3,76935,52.82,48
Spectre,6.8,308981,200.07,60
Nightcrawler,7.9,332476,32.28,76
Kubo and the Two Strings,7.9,72778,48.02,84
Her,8,390531,25.56,90
Frozen,7.5,451894,400.74,74
Tomorrowland,6.5,143069,93.42,60
Dawn of the Planet of the Apes,7.6,337777,208.54,79
Tropic Thunder,7,321442,110.42,71
The Conjuring 2,7.4,137203,102.46,65
Ant-Man,7.3,368912,180.19,64
Bridget Jones's Baby,6.7,43086,24.09,59
The VVitch: A New-England Folktale,6.8,101781,25.14,83
Cinderella,7,117018,201.15,67
Billy Lynn's Long Halftime Walk,6.3,11944,1.72,53
Crimson Peak,6.6,97454,31.06,66
Drive,7.8,461509,35.05,78
Trainwreck,6.3,106364,110.01,75
The Light Between Oceans,7.2,27382,12.53,60
Spotlight,8.1,268282,44.99,93
Morgan,5.8,22107,3.91,48
Warrior,8.2,355722,13.65,71
Captain America: The First Avenger,6.9,547368,176.64,66
Into the Wild,8.1,459304,18.35,73
The Imitation Game,8.1,532353,91.12,73
Central Intelligence,6.3,97082,127.38,52
Edge of Tomorrow,7.9,471815,100.19,71
A Cure for Wellness,6.5,12193,8.1,47
Snowden,7.3,79855,21.48,58
Iron Man,7.9,737719,318.3,79
Allegiant,5.7,70504,66,33
X: First Class,7.8,550011,146.41,65
Raw (II),7.5,5435,0.51,81
Paterson,7.5,26089,2.14,90
Bridesmaids,6.8,227912,169.08,75
San Andreas,6.1,161396,155.18,43
Spring Breakers,5.3,114290,14.12,63
Transformers,7.1,531112,318.76,61
Thor: The Dark World,7,443584,206.36,54
Gods of Egypt,5.5,73568,31.14,25
Captain America: The Winter Soldier,7.8,542362,259.75,70
Monster Trucks,5.7,7044,33.04,41
Kick-Ass,7.7,456749,48.04,66
Hardcore Henry,6.7,61098,9.24,51
Cars,7.1,283445,244.05,73
It Follows,6.9,136399,14.67,83
The Girl with the Dragon Tattoo,7.8,348551,102.52,71
We're the Millers,7,334867,150.37,44
American Honey,7,19660,0.66,79
The Lobster,7.1,121313,8.7,82
Predators,6.4,179450,52,51
Maleficent,7,268877,241.41,56
Apocalypto,7.8,247926,50.86,68
Mission: Impossible - Rogue Nation,7.4,257472,195,75
The Huntsman: Winter's War,6.1,66766,47.95,35
The Perks of Being a Wallflower,8,377336,17.74,67
Jackie,6.8,41446,13.96,81
The Disappointments Room,3.9,4895,2.41,31
The Grand Budapest Hotel,8.1,530881,59.07,88
The Host,5.9,96852,26.62,35
Fury,7.6,332234,85.71,64
Inside Out,8.2,416689,356.45,94
Rock Dog,5.8,1109,9.4,48
Terminator Genisys,6.5,205365,89.73,38
Percy Jackson & the Olympians: The Lightning Thief,5.9,148949,88.76,47
Les Misérables,7.6,257426,148.78,63
Children of Men,7.9,382910,35.29,84
20th Century Women,7.4,14708,5.66,83
Spy,7.1,188017,110.82,75
The Intouchables,8.6,557965,13.18,57
Bonjour Anne,4.9,178,0.32,50
Kynodontas,7.3,50946,0.11,73
Straight Outta Compton,7.9,139831,161.03,72
The Amazing Spider-Man 2,6.7,342183,202.85,53
The Conjuring,7.5,330305,137.39,68
The Hangover,7.8,611563,277.31,73
Battleship,5.8,210349,65.17,41
Rise of the Planet of the Apes,7.6,422290,176.74,68
Lights Out,6.4,69823,67.24,58
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,7.1,664,2.27,76
Birdman or (The Unexpected Virtue of Ignorance),7.8,440299,42.34,88
Black Swan,8,581518,106.95,79
Dear White People,6.2,21715,4.4,79
Nymphomaniac: Vol. I,7,90556,0.79,64
Teenage Mutant Ninja Turtles: Out of the Shadows,6,59312,0.54,40
Knock Knock,4.9,53441,0.03,53
Dirty Grandpa,6,75137,35.54,18
Cloud Atlas,7.5,298651,27.1,55
X-Men Origins: Wolverine,6.7,388447,179.88,40
Skyfall,7.8,547386,304.36,81
The Hobbit: An Unexpected Journey,7.9,668651,303,58
21 Jump Street,7.2,432046,138.45,69
Sing Street,8,52144,3.23,79
Oblivion,7,410125,89.02,54
22 Jump Street,7.1,280110,191.62,71
Zodiac,7.7,329683,33.05,78
Everybody Wants Some!!,7,36312,3.37,83
Iron Man Three,7.2,591023,408.99,62
Now You See Me,7.3,492324,117.7,50
Sherlock Holmes,7.6,501769,209.02,57
